AppID,Category_1,Category_2
291170,Single-player,Steam Achievements
1162730,Single-player,Steam Achievements
236490,Single-player,Steam Achievements
1418650,Single-player,Partial Controller Support
1011320,Single-player,Multi-player
1895130,Multi-player,MMO
1002510,Single-player,Steam Cloud
346940,Single-player,Steam Achievements
1983410,Others,
40420,Single-player,Multi-player
1526480,Single-player,
1914950,Multi-player,Co-op
288790,Single-player,
434970,Single-player,Steam Achievements
1073890,Single-player,
1811750,Single-player,Steam Achievements
283620,Single-player,
1152410,Single-player,Steam Achievements
350970,Single-player,Steam Achievements
1582850,Single-player,Full controller support
308560,Single-player,Steam Achievements
1807610,Single-player,Multi-player
1504570,Single-player,Multi-player
418650,Single-player,VR Support
1064920,Multi-player,PvP
1088040,Single-player,Steam Achievements
1418160,Single-player,Steam Achievements
1128420,Single-player,
313740,Single-player,Steam Trading Cards
960820,Single-player,Steam Achievements
1515820,Single-player,Steam Cloud
237760,Single-player,Steam Achievements
1022480,Single-player,Steam Achievements
532080,Single-player,
415780,Single-player,Steam Achievements
1166990,Single-player,Multi-player
407420,Single-player,Steam Trading Cards
391280,Single-player,
1371730,Single-player,
471770,Single-player,Partial Controller Support
461830,Single-player,Steam Achievements
1376590,Single-player,Steam Achievements
990840,Single-player,
1788730,Single-player,
1412580,Single-player,Partial Controller Support
889280,Single-player,Partial Controller Support
1277310,Single-player,Steam Achievements
1600600,Single-player,Steam Achievements
1302460,Single-player,Multi-player
869840,Single-player,Steam Achievements
438490,Single-player,Multi-player
1187250,Single-player,Steam Achievements
1541450,Single-player,Steam Achievements
656070,Multi-player,PvP
1495080,Single-player,
406930,Single-player,Multi-player
855010,Single-player,Multi-player
312540,Single-player,Steam Achievements
1028340,Single-player,
368570,Single-player,Steam Achievements
270880,Single-player,Multi-player
1671200,Single-player,Multi-player
959410,Single-player,
1273250,Single-player,Steam Achievements
913440,Single-player,Includes level editor
959050,Single-player,Steam Achievements
991230,Single-player,Steam Achievements
1580640,Single-player,
1808860,Single-player,Steam Achievements
1338130,Single-player,Steam Achievements
589220,Single-player,Steam Achievements
993750,Single-player,Steam Achievements
903790,Single-player,Multi-player
1508980,Single-player,Steam Achievements
1208040,Single-player,Steam Achievements
408920,Single-player,Steam Achievements
1217510,Single-player,Multi-player
1417190,Single-player,Steam Achievements
1386330,Single-player,Multi-player
1776860,Single-player,Partial Controller Support
1227000,Single-player,
1285820,Single-player,Partial Controller Support
394960,Single-player,Steam Achievements
747110,Single-player,Multi-player
733990,Single-player,Steam Achievements
1998840,Single-player,Full controller support
704760,Single-player,Steam Achievements
528460,Multi-player,MMO
1457490,Multi-player,PvP
12670,Single-player,
765860,Single-player,
1514580,Single-player,Steam Achievements
1431040,Single-player,Multi-player
1579590,Single-player,Steam Achievements
1553850,Single-player,
1875560,Single-player,Steam Achievements
1143810,Single-player,Full controller support
1321220,Single-player,Steam Achievements
1500750,Single-player,
1845890,Others,
1819900,Single-player,Multi-player
1433070,Single-player,Multi-player
45750,Single-player,Multi-player
850710,Single-player,Steam Achievements
821860,Single-player,
1836970,Single-player,
577850,Single-player,
1715970,Single-player,Multi-player
1008000,Multi-player,MMO
1006920,Single-player,Steam Achievements
1011310,Single-player,Steam Achievements
536950,Single-player,Multi-player
1669350,Single-player,Partial Controller Support
1436810,Single-player,Steam Achievements
2050890,Single-player,
1280780,Single-player,Includes level editor
994200,Multi-player,PvP
1148680,Single-player,Multi-player
1347390,Single-player,Steam Achievements
460630,Single-player,Steam Achievements
562050,Single-player,Steam Achievements
613880,Single-player,Multi-player
2003160,Others,
371710,Single-player,Steam Trading Cards
1959400,Single-player,
1420080,Single-player,Steam Achievements
38160,Single-player,
1283430,Multi-player,PvP
703000,Single-player,Full controller support
1071220,Single-player,Steam Achievements
536430,Single-player,Steam Achievements
742990,Single-player,Multi-player
1000040,Single-player,
380990,Single-player,Steam Achievements
565080,Single-player,Steam Achievements
377010,Others,
1630760,Single-player,
612440,Single-player,
327980,Single-player,Steam Achievements
1692190,Others,
266330,Single-player,Steam Achievements
1436990,Multi-player,PvP
654710,Single-player,Steam Achievements
873250,Single-player,
1863380,Others,
868570,Single-player,Steam Achievements
1571600,Single-player,
1605190,Single-player,
635900,Single-player,Steam Achievements
1789660,Single-player,Steam Achievements
1236700,Single-player,Steam Achievements
590600,Single-player,
870010,Single-player,
