AppID,Genre_1,Genre_2,Genre_3
1601680,Adventure,RPG,Simulation
1753690,Adventure,Indie,RPG
863230,Action,Indie,Early Access
1059370,Action,Casual,Indie
1615560,Action,Indie,
1527140,Indie,Utilities,
661700,Adventure,Free to Play,
486940,Simulation,Sports,
778860,Casual,Indie,
876850,Adventure,Casual,Indie
482390,Casual,Indie,
676320,Casual,Indie,
1684220,Action,Indie,
946360,Casual,Indie,Strategy
513330,Indie,Simulation,Strategy
1179010,Action,Casual,Free to Play
1367380,RPG,,
1034120,Adventure,Casual,Indie
1713530,Strategy,,
736430,Action,Adventure,Indie
699510,Adventure,Casual,Indie
1100180,Action,Indie,
959000,Adventure,Indie,
731180,Action,Casual,Free to Play
1481960,Adventure,,
376410,Adventure,Indie,RPG
723110,Action,Indie,
226620,Adventure,Casual,Indie
1108750,Action,Adventure,Indie
788040,Action,Casual,Indie
1768790,Action,Indie,Strategy
1471220,Action,Adventure,Indie
699080,Adventure,Casual,Indie
1068120,Action,Adventure,Indie
1153040,Adventure,Indie,
1658770,Strategy,,
1061420,RPG,,
363180,Casual,Indie,Strategy
843620,Casual,,
1384350,Action,Casual,Indie
618570,Action,Adventure,Casual
110600,Action,Indie,
1172470,Action,Adventure,Free to Play
1471460,Action,Indie,Early Access
1284700,Adventure,Casual,Indie
841600,Action,Adventure,Indie
1671180,Action,Casual,Indie
2061060,Action,Adventure,Casual
1299120,Casual,RPG,
1303170,Racing,Simulation,Early Access
773530,Casual,Indie,Strategy
1430100,Indie,RPG,
1514160,Adventure,Casual,Indie
404730,Adventure,Indie,RPG
945490,Indie,Strategy,
1674730,Photo Editing,Utilities,
301260,Casual,Simulation,Strategy
1866870,Action,Casual,Indie
510710,Casual,Indie,Strategy
924310,Action,Indie,Sports
1273430,Action,Indie,
556680,Action,Indie,Simulation
910850,Simulation,,
1343450,Casual,Indie,
1271620,Action,,
1492290,Casual,Indie,
1433770,Casual,,
1804390,Adventure,Casual,Indie
1091350,Action,Casual,Racing
1836500,Casual,Indie,
813360,Adventure,RPG,
846220,Adventure,Casual,Indie
223750,Free to Play,Simulation,
1845880,Casual,Indie,
291170,Casual,Indie,Strategy
1162730,Casual,Indie,
236490,Action,Indie,
1418650,Action,Indie,
1011320,Action,Indie,Strategy
1895130,Action,Adventure,Massively Multiplayer
1002510,Casual,Indie,
346940,Adventure,Indie,RPG
1983410,Others,,
40420,Casual,Indie,
1526480,Casual,Simulation,
1914950,Free to Play,Indie,RPG
288790,Adventure,,
434970,Action,Indie,
1073890,Action,Free to Play,
1811750,Indie,,
283620,Casual,Indie,Simulation
1152410,Casual,Indie,
350970,Action,Adventure,Indie
1582850,Action,Adventure,Free to Play
308560,Adventure,Indie,
1807610,Indie,Strategy,
1504570,Action,Adventure,Indie
418650,Action,,
1064920,Casual,Indie,
1088040,Casual,Indie,Simulation
1418160,Adventure,Casual,Indie
1128420,Casual,,
313740,Indie,,
960820,Casual,Indie,
1515820,Adventure,Casual,RPG
237760,Action,Indie,
1022480,Action,Adventure,
532080,Action,Adventure,Free to Play
415780,Action,Casual,Indie
1166990,Casual,Indie,Massively Multiplayer
407420,Action,Adventure,Casual
391280,Adventure,Indie,RPG
1371730,Adventure,Indie,
471770,Action,Adventure,Indie
461830,Adventure,Indie,
1376590,Adventure,Casual,Indie
990840,Casual,Indie,
1788730,Strategy,,
1412580,Action,Adventure,Casual
889280,Adventure,Indie,
1277310,Free to Play,Indie,
1600600,Adventure,Indie,Simulation
1302460,Action,Adventure,Free to Play
869840,Adventure,Indie,
438490,Action,RPG,
1187250,Action,Indie,Strategy
1541450,Indie,,
656070,Action,Free to Play,Indie
1495080,Casual,,
406930,Action,Casual,Indie
855010,Strategy,,
312540,Action,Adventure,RPG
1028340,Indie,Sports,
368570,Indie,,
270880,Indie,Simulation,
1671200,Action,Adventure,Free to Play
959410,Adventure,Indie,RPG
1273250,Action,Casual,Indie
913440,Casual,,
959050,Action,Adventure,Casual
991230,Indie,Racing,
1580640,Adventure,Casual,Indie
1808860,Casual,Indie,
1338130,Action,Adventure,Indie
589220,Action,Adventure,Indie
993750,Indie,,
903790,Indie,Strategy,
1508980,Casual,Simulation,Strategy
1208040,Casual,Indie,
408920,Adventure,Indie,RPG
1217510,Casual,Free to Play,Strategy
1417190,Casual,Indie,
1386330,Casual,Indie,
1776860,Casual,Indie,
1227000,Indie,,
1285820,Casual,Indie,
394960,Action,Adventure,Early Access
747110,Action,Casual,Indie
733990,Casual,Simulation,
1998840,Action,,
704760,Action,Indie,
528460,Adventure,Indie,Massively Multiplayer
1457490,Casual,Free to Play,
12670,Simulation,,
765860,Adventure,,
1514580,Action,Adventure,Indie
1431040,Casual,Sports,
1579590,Action,Adventure,Indie
1553850,Action,Casual,Indie
1875560,Adventure,Indie,
1143810,Action,Adventure,Indie
1321220,Adventure,Casual,Simulation
1500750,Adventure,Casual,Indie
1845890,Others,,
1819900,Action,Casual,Indie
